Date,News
2024-02-16,Russian opposition politician and Putin critic Alexei Navalny has died
2024-02-26,It’s official: Sweden to join NATO
2024-02-12,"Mongolia's former president mocks Putin with a map showing how big the Mongol empire used to be, and how small Russia was"
2024-02-22,US lander successfully touches down on moon for first time in over 50 years
2024-02-21,"Russia arrests US dual national over alleged $51 Ukrainian charity donation, faces up to 20 years in prison for treason"
2024-02-11,Nato chief says Trump remarks may put US and EU lives at risk
2024-02-01,Biden signs unprecedented order targeting Israeli settlers who attack Palestinians
2024-01-30,CIA director: Not passing Ukraine aid would be a mistake 'of historic proportions'
2024-02-05,"King Charles III diagnosed with cancer, Buckingham Palace says"
2024-02-08,Polish leader says US Republican senators should be ashamed for scuttling Ukrainian aid
2024-02-20,"North Korean Workers in China Riot over Unpaid Wages; 2,000 Occupy Factory, Kill Plant Manager"
2024-02-25,"31,000 Ukrainian troops killed since the start of Russia's full-scale invasion, Zelenskyy says"
2024-01-28,"Three US troops killed in drone attack in Jordan, at least two dozen injured"
2024-02-24,Prime Minister Justin Trudeau says ’weakling’ Putin executed Navalny to crush dissent
2024-02-04,Russia Has Massed 500 Tanks For An Attack On Kupyansk. Thousands Of Ukrainian Drones Await Them.
2024-02-14,"Russian landing ship Caesar Kunikov hit in Black Sea, it has sunk – intelligence sources, photo, video"
2024-02-15,White House confirms US has intelligence on Russian anti-satellite capability
2024-02-19,Biden administration is leaning toward supplying Ukraine with long-range missiles
2024-02-21,The UK freezes assets of six Russian prison bosses in charge of the Arctic penal colony where opposition leader Alexei Navalny died
2024-02-18,Prime Minister: Denmark to supply all its artillery to Ukraine
2024-02-10,Biden Likens Failure to Grant Ukraine Aid to ‘Criminal Neglect’
2024-02-08,Putin challenger says he is barred from election
2024-01-28,Biden says US 'shall respond' after drone strike by Iran-backed group kills 3 US troops in Jordan
2024-02-26,"Russia’s 2024 election interference has already begun: Moscow is spreading disinformation about Joe Biden and other Democrats to lessen U.S. military aid to Ukraine and U.S. support for NATO, former U.S. officials and cyber experts say"
2024-02-21,Russians Who Paid Tribute to Navalny Are Hit With Military Summons
2024-01-31,Iran Warns It Will Retaliate After Biden Says He’s Decided How To Respond To Killing Of 3 U.S. Soldiers
2024-02-07,Mexico overtakes China as the leading source of goods imported to US
2024-02-22,"Gunmen sent by Moscow killed defector sheltering in Alicante, Spanish intelligence services say"
2024-02-23,"‘China destroyed 21,000 acres of West Philippine Sea coral reefs’"
2024-02-21,U.S. Attorney Announces Nuclear Materials Trafficking Charges Against Japanese Yakuza Leader
2024-02-02,Russia finds ‘errors’ in paperwork of candidate hoping to stand against Putin
2024-02-02,"US starts retaliatory strikes in Iraq, Syria -officials"
2024-02-07,US drone strike kills Iran-aligned militia leader in Baghdad
2024-02-23,Zelenskyy: Trump cannot end Ukrainian war in 24 hours
2024-02-16,Putin signs property confiscation law - The law is aimed to punish for spreading “falsehoods” about the Russian army
2024-02-14,ABC News: Alleged 'serious threat' to US national security relates to Russia's plans to put nuclear weapons in space
2024-02-12,Dutch court orders halt to export of F-35 jet parts to Israel
2024-02-13,Estonia Says Russia Is Preparing For A Military Confrontation With The West
2024-02-08,Massive Explosion Hits Russian Plant Making Nuclear Capable ICBMs
2024-01-29,"China Evergrande ordered to liquidate, owing $300 bln"
2024-02-06,"One fifth of hostages in captivity are actually dead, NYT reports"
2024-02-20,Alexei Navalny's wife Yulia Navalnaya has X social media account suspended
2024-02-03,Major Russian Oil Refinery in Volgograd Region Falls Victim to a Drone Attack
2024-02-15,"Ukraine's Zelensky signs medical marijuana bill, a step he says can heal 'pain, stress and trauma of war' with Russia"
2024-02-23,'Russia has never hurt us': India says Europe's view of Moscow can't be same as India's
2024-02-11,Madagascar Passes Bill To Castrate Child Rapists
2024-02-26,"Sell homes of 'Putin cronies', says London mayor"
2024-02-15,Putin on war against Ukraine: We regret not starting it earlier
2024-02-13,Russia warns the West: we will be very tough if you 'steal' our assets
2024-02-24,Navalny's mother given her son's body after more than a week of waiting
2024-02-24,Hamas’s ‘sadistic sex crimes’ on Oct. 7 set forth in new report
2024-01-30,Hamas command center found under cemetery Israel accused of desecrating
2024-02-23,"Kremlin threatens to let Navalny’s body rot unless he is buried in secret, says family"
2024-02-22,"Russia threatens to shoot aircraft patrolling Black Sea, claims France"
2024-02-22,Moldovan breakway Republic Transnistria going to request annexation to Russia
2024-02-17,"Czech Republic has identified a way to procure 3.5 million rounds of ammunition for Ukraine but needs funding to do so, said the country’s president Petr Pavel"
2024-01-30,"Biden’s response to Jordan attack is likely to be powerful, but US is wary of triggering a wider war with Iran, officials say | CNN Politics"
2024-01-31,"Iran not seeking war with US but ‘not afraid of it’, says military chief"
2024-02-20,"Alexey Navalny's widow says Russia ""hiding his body, refusing to give it to his mother"""
2024-02-09,"Canadians won't be fooled by Putin propaganda on Ukraine, Trudeau says"
2024-02-05,"'Zelenskyy: As far as ground war is concerned, it's hit a stalemate, that's a fact' ""We are fighting against terrorists who have one of the largest armies in the world. Ammunition is not enough – we need modern equipment."" [interview Italian TV channel Rai1]"
2024-02-14,Exhausted Ukraine struggles to find new men for front line
2024-02-24,India confirms citizens have joined Russian military
2024-02-16,"Long COVID Seems to Be a Brain Injury, Scientists Discover"
2024-02-14,"US Navy aircraft carrier going head-to-head with the Houthis has its planes in the air 'constantly,' strike-group commander says"
2024-02-17,Zelenskyy offers Trump a tour of Ukraine’s front line
2024-02-25,"Vast majority of Iranians want a secular government, poll reveals"
2024-02-20,Putin Promotes Top Prison Official Accused of Tormenting Navalny Behind Bars
2024-01-30,Russia Hit With Widespread Internet Outage Across Country
2024-02-25,Zelensky says Ukraine’s counteroffensive plans leaked to Russia
2024-02-26,France's Macron says sending troops to Ukraine cannot be ruled out
2024-02-21,Ukrainian missile attack on Russian training ground kills at least 60
2024-02-23,US targets Russia with more than 500 new sanctions
