Date,News
2024-02-20,Hundreds of Ukrainian soldiers ‘captured’ in chaotic withdrawal from eastern city
2024-02-11,Ukraine's military intelligence says it confirms use of Musk's Starlink by Russian forces
2024-02-03,Nigerian traditional monarch shot dead and wife kidnapped from palace
2024-02-19,Alexei Navalny’s widow vows to continue his fight against Putin
2024-02-16,Biden blames Putin for Russian opposition leader Alexei Navalny's death
2024-02-02,"China reports death of woman from combined H3N2, H10N5 strains of bird flu"
2024-02-22,"ABC News: Ukraine could face 'catastrophic' arms shortage within weeks, US officials say"
2024-02-18,Putin Says Ukraine Matter Of Life And Death For Russia
2024-02-24,Lavrov's plane denied refuelling in Brazil due to US sanctions
2024-02-22,President Biden to meet with Alexei Navalny's widow and daughter
2024-02-19,Israel declares Brazil's Lula persona non grata for comparing Gaza war to Holocaust
2024-02-06,Ukraine's Special Forces blew up Russian radar station in Black Sea
2024-02-16,"‘They lied’: plastics producers deceived public about recycling, report reveals"
2024-02-08,13 sentenced to death for homosexuality in Yemen. A Houthi-run court in Yemen has sentenced 13 people to public execution on homosexuality charges
2024-02-19,400 detained in Russia for attending events in memory of Navalny
2024-02-20,North Korean missile fired by Russia against Ukraine contained US and European components
2024-01-29,Iran Denies Ordering Drone Strike as Biden Weighs a Response
2024-02-22,Ukraine will have right to use F-16s to attack military targets in Russia - Stoltenberg
2024-02-26,Houthis knock out underwater cables linking Europe to Asia - report
2024-02-01,EU leaders approve €50 billion deal for Ukraine after Orbán lifts veto
2024-02-02,China’s yuan replaces US dollar as ‘primary’ currency for Russia’s foreign trade
2024-02-26,Palestinian Prime Minister Submits Resignation to President Abbas
2024-02-22,"Putin still believes he can win in Ukraine, says western assessment | Russia"
2024-02-23,"Putin Fears Navalny Funeral Could Trigger Mass Demonstrations, Khodorkovsky Says"
2024-02-04,Hamas shows signs of return in Gaza City after Israel withdraws of its most troops from area
2024-02-09,Scholz says Carlson interview with Putin tells 'absurd story'
2024-02-07,Ukrainian Special Ops Destroy Russian-Held Mining Platform in Black Sea
2024-02-17,"Ukraine shoots down three Russian warplanes, air force chief says"
2024-02-24,"Large Part of World Faces Measles Outbreaks After COVID, WHO Says"
2024-02-10,"Hamas had command tunnel under U.N. Gaza headquarters, Israeli military says"
2024-02-08,Russia Storming Avdiivka with ‘Very Large Forces’
2024-02-18,Netanyahu: Those telling us not to enter Rafah are essentially saying ‘lose the war’
2024-02-20,"Sweden to send Ukraine their biggest yet military aid package containing boats, anti-air, anti-tanks, torpedoes, ammunition"
2024-02-07,Macron calls Hamas attacks ‘biggest antisemitic massacre of our century’
2024-01-30,Biden says he's decided on response to Iran over deadly drone attack
2024-02-02,Greta Thunberg Case thrown out due to 'unlawful' conditions
2024-02-15,Armenia warns that Azerbaijan is planning a ‘full-scale war’
2024-02-20,ISS: Russian special services behind attack on Estonian minister's car
2024-02-04,China named as hypothetical enemy for 1st time in Japan-U.S. exercise
2024-02-07,Explosions Heard in Kyiv as Russia Launches Another Mass Missile Strike
2024-02-17,"Russia has captured some soldiers, Ukrainian commander says, as Kyiv’s forces withdraw from key town of Avdiivka"
2024-02-14,Belgium confirms Hamas operating within its borders through shell companies
2024-02-06,Iranian intelligence suspected of plot to kill Swedish Jews
2024-02-10,NATO reportedly wants to coordinate arms supplies to Ukraine instead of US
2024-02-23,US says Israel's new settlements in West Bank are 'inconsistent' with international law
2024-01-29,"Netanyahu must be removed, top former Israeli national security officials say"
2024-01-29,"Amelia Earhart's long-lost plane possibly detected by sonar 16,000 feet underwater, exploration team claims"
2024-02-17,Hamas says Israeli hostages have suffered many losses
2024-02-10,"Zelensky Bets on New Generation, Battle-Tested Officers for Top Army Posts"
2024-02-19,‘There’s only Plan A': Defense leaders fear failure in Ukraine
2024-02-08,"Israel cannot use Oct. 7 as ‘license to dehumanize others,’ Blinken warns in Tel Aviv"
2024-02-25,UK PM Sunak says West should be bolder about seizing Russian assets
2024-02-24,"Mexican president defends disclosing a reporter's phone number, saying the law doesn't apply to him"
2024-02-13,Germany's Scholz calls for urgent 'mass production' of European arms
2024-02-08,"Ukraine’s top commander, Zaluzhny, officially out"
2024-02-04,The UK's flagship aircraft carrier suffers new misfortune and won't lead major NATO exercise
2024-02-14,"Germany Hits 2% NATO Target for First Time Since 1992, Reports Dpa"
2024-01-28,Ukraine says corrupt officials stole $40 million meant to buy arms for the war with Russia
2024-02-08,Russia deploying Starlink in Ukraine—reports
2024-02-09,"Critical Atlantic Ocean current system is showing early signs of collapse, prompting warning from scientists | CNN"
2024-02-24,Earth just experienced its hottest 12 months in recorded history
2024-02-02,"US moves to seize more than 500,000 barrels of Iranian oil it says was illegally trafficked"
2024-02-18,Zelensky obtains unprecedented military support from Paris and Berlin
2024-02-26,Alexei Navalny describes 'corrupt officials' living in London helping Putin in never-before-seen interview | World News
2024-02-03,Pope Francis Condemns 'Terrible Increase In Attacks Against Jews' Worldwide
2024-02-18,"Medvedev threatens Berlin, London and Washington with nuclear retaliation if Russia is to return to 1991 borders"
2024-02-12,"Austria’s dependence on Russian gas rises to 98%, two years after Ukraine war"
2024-01-31,US Blocks $3-Billion Drone Sale to India Until ‘Meaningful Investigation’ of Pannun Assassination Conspiracy
2024-02-13,Australia to ban doxxing after pro-Palestinian activists publish information about hundreds of Jews
2024-02-21,Alexander Smirnov: FBI source accused of Biden lies 'linked to Russian intelligence'
2024-02-07,"$375,000 - The Sticker Price for an Iranian Shahed Drone sold to Russia"
2024-02-05,Zelenskyy confirms he is thinking about replacing Ukraine's top military commander
2024-02-02,Russia’s frozen assets are generating billions. The EU is getting ready to send them to Ukraine
2024-02-12,North Korea cracks down on homes converted into Airbnb-style lodgings
2024-02-26,Denmark drops investigation into Nord Stream pipeline blasts
2024-02-08,Britain increases artillery shell production ‘eight-fold’
2024-02-21,Israel's Knesset votes 99-11 against any unilateral recognition of Palestinian state
2024-02-01,Russian Girl Jailed for Wearing Rainbow-Colored Earrings
2024-02-15,"An entire generation of young people from Gaeltacht (the Irish-speaking area of Ireland) cannot buy a house nor a site in their own area: “There are no houses available to rent, all the houses are up on Airbnb...."""
2024-02-10,Top German General: Germany must prep for potential war in 5 years
2024-02-13,"Russia used an advanced hypersonic missile for the first time in recent strike, Ukraine claims | CNN"
2024-02-09,"Venezuela building up troops on Guyana border, satellite images show | Venezuela"
2024-02-07,Pope Francis says opposing blessings for gay couples is hypocrisy
2024-02-20,Australia says to build biggest navy since World War II
2024-02-18,Russia claims full control of Avdiivka after Ukrainian retreat
2024-01-30,French move to make abortion a ‘guaranteed freedom’ gains big win in lower house
2024-02-19,Houthis Say They Shot Down a U.S. MQ-9 Reaper Drone Off Yemen
2024-02-07,Argentine President in tears at Western Wall; says embassy to move to Jerusalem
2024-01-29,"Iran-backed terrorists abandon positions along Iraq-Syria border, avoid phone calls after US vows revenge for Jordan"
2024-02-16,X accused of taking payments from terrorists
2024-02-11,"Russia has recruited as many as 15,000 Nepalis to fight its war"
2024-02-25,"U.S. officials warn: Gaza ""is turning into Mogadishu"""
2024-01-31,Iran on high alert as Biden mulls response to killing of US servicemen
2024-02-11,"In Poland, protesters dumped grain from Ukrainian trucks on road"
2024-02-21,Iran sends Russia hundreds of ballistic missiles
2024-02-24,UNRWA suspends aid to northern Gaza amid ‘collapse of civil order’
2024-02-25,"Israeli soldier held captive in Gaza murdered, IDF confirms"
2024-02-16,Ukraine Russia war: US warns Avdiivka could fall
2024-02-24,Huge oil slick from cargo ship hit by Houthis triggers environmental disaster concerns
2024-02-15,"Putin urges Russians to have more kids, says ethnic survival at stake"
2024-02-11,"Russia is using SpaceX’s Starlink satellite devices in Ukraine, sources say"
2024-02-09,Rishi Sunak paid effective tax rate of 23% on £2.2m income last year
2024-02-09,Meta suspends Iran's Supreme Leader Ali Khamenei’s Facebook and Instagram accounts
2024-02-12,Swiss police probe hotel ski rental ban for Jewish guests
2024-02-09,Poll: 77% of Russians support war in Ukraine
2024-02-16,"1 dead, 5 wounded in terror shooting in southern Israel"
2024-02-07,"Leading Chinese bank halts operations in Russia, Belarus"
2024-02-06,Italy’s far-right government submits plan to decriminalise abuse of office
2024-02-04,Measles outbreak in the UK declared a national incident
2024-02-20,Indians hired as Russian ‘army security helpers’ forced to fight on Ukraine border
2024-02-13,"Putin's suggestion of Ukraine ceasefire rejected by United States, sources say"
2024-02-16,"Gazan riots erupt near Rafah's border with Egypt, fire breaks out"
2024-02-20,UN pauses food deliveries to the north of Gaza due to attacks on trucks
2024-02-12,"Shin Bet, IDF rescues 2 hostages from Rafah"
2024-01-31,"Bloomberg: Russia creates new mercenary army in Africa called ""Africa Corps"", replacing Wagner group"
2024-02-22,Canada summons Russian ambassador in protest of Alexei Navalny's death
2024-02-05,El Salvador’s ‘cool dictator’ boasts country would be ‘a one-party system’ after election win
2024-02-19,‘China has a lot more to lose’: U.S. considering sanctioning Chinese firms aiding Russia’s war
2024-02-15,Kremlin dismisses U.S. warning about Russian nuclear capability in space
2024-02-05,Ukrainian special forces capture and interrogate Russian mercenaries from Wagner PMC in Sudan
2024-01-29,UAE strongly condemns terrorist attack on US military base in Jordan
2024-01-31,Nestlé admits to treating bottled mineral water in breach of French regulations
2024-01-31,"Kyiv Confirms Drone Attack on St. Petersburg Oil Refinery, Claims UAV Dodged Russia’s Best Air Defense"
2024-01-29,"Hamas seems to reject new hostage deal offer, says it’ll only accept full IDF pullout"
2024-02-26,Fears of famine grow in Gaza as aid agencies suspend deliveries
2024-02-09,"Sweden has thwarted Iranian attack plots, counterintelligence police say"
2024-02-13,S. Korea vows 'overwhelming response' if N. Korea provokes
2024-02-18,Hamas terrorists posing as doctors arrested in IDF hospital operation
2024-02-23,"Germany legalises cannabis, but makes it hard to buy"
2024-02-24,Stoltenberg: Ukraine will join NATO – it's not a question of if but of when
2024-02-11,"Egypt relays message to Hamas that it has two weeks for hostage deal, or IDF will enter Rafah"
2024-02-02,Russia condemns Ecuador over decision to hand Russian military hardware to US for Ukraine - RIA
2024-02-19,Foreign direct investment in China falls to 30-year low
2024-02-01,"US approves plan to strike Iranian targets in Syria and Iraq, officials say"
2024-01-31,"'We'll Fight Until We're Dead': With Dwindling Ammunition, Ukrainian Soldiers Defend Their Gains"
2024-01-29,Japan and Germany sign military supply-sharing pact
2024-02-26,IDF says probe indicates no troops were in area where 6-year-old Gazan girl was killed
2024-02-21,Alexei Navalny: Mother demands Putin return son's body
2024-02-17,For the first time ever. U.S. handed over confiscated Russian assets to Estonia to help Ukraine
2024-02-02,"US Approves $4B Sale of MQ-9B Drones, Hellfire Missiles to India"
2024-01-29,Financial Times: Leaked document reveals EU considering cutting off funding to Hungary over Ukraine aid veto
2024-02-13,Russia declares Estonian PM Kaja Kallas a 'wanted' person – DW
2024-02-13,U.S. seizes cargo jet Iran illegally sold to Venezuela - I24NEWS
2024-01-28,Hungary far-right would lay claim to western Ukraine should it lose war
2024-02-26,UK Home Office accused of cover-up over ‘golden visas’ for super-rich Russians
2024-02-26,"Navalny was close to being freed in a prisoner swap, says ally"
2024-02-06,Yazidi woman held by Islamic State for 10 years freed from al-Hawl camp by Women’s Protection Units (YPJ) in Syria
2024-02-14,Israeli jets hit Lebanon in heaviest strike since Gaza war began
2024-02-20,Jailed Russian activist Ilya Yashin says he fears for his life after death of Navalny
2024-02-06,"China, Russia and Iran to hold navy drills aimed at ‘regional security’, admiral says as Middle East tensions flare"
2024-02-24,Taiwan’s leadership ‘extremely worried’ US could abandon Ukraine | A congressional delegation assured senior officials that the U.S. “will stand firmly” with the island regardless of the results of the U.S. presidential election.
2024-02-23,"In Russia, the number of individuals convicted on political grounds during President Vladimir Putin’s most recent term has surpassed that of the USSR under Nikita Khrushchev and Leonid Brezhnev, reports the Russian publication Proekt (Project)"
2024-02-03,U.S. launches new military strikes in Yemen
2024-01-31,"EU must defend Ukraine even if US reduces military support, Macron says"
2024-02-08,Scholz ahead of US visit: Russian victory in Ukraine would imperil us all
2024-02-03,Ukraine informs U.S. about decision to fire top general
2024-02-04,"India involved in election interference in Canada, says intelligence report"
2024-02-02,Putin: Occupied Ukrainian regions to be integrated with Russia by 2030
2024-02-15,‘A lot higher than we expected’: Russian arms production worries Europe’s war planners
2024-02-12,"Australian Jews alarmed after list of ‘Zionists’ publicized, fueling harassment"
2024-02-09,Avdiivka Mayor Confirms Russian Incursion into City Outskirts
2024-02-06,Russia poised to bar only antiwar candidate from presidential race
2024-02-18,"Russia to gather representatives of Hamas, Islamic Jihad and Palestinian factions in Moscow"
2024-01-30,Indian Navy rescues 19 Pakistani crew onboard vessel hijacked by Somali pirates in Arabian Sea
2024-01-28,Minns warns neo-Nazis will be named and shamed after another Sydney gathering
2024-02-05,"LGBTQ+ Palestinians can request asylum in Israel, court rules"
2024-01-31,US navy destroys Houthi missile that posed 'imminent threat' to aircraft
2024-02-01,Gunmen take hostages at US company's Turkish factory in apparent protest of Gaza war
2024-02-03,Paris residents set to vote on plan to triple parking charges for SUVs
2024-02-01,Houthis claim to have hit US merchant ship in Red Sea
2024-02-26,Russian jamming is now messing up GPS signals for Norwegian aviation practically every day
2024-02-02,Record Number of Russians Would Reverse Decision to Invade Ukraine – Poll
2024-02-04,Finance worker pays out $25 million after video call with deepfake chief financial officer
2024-02-20,Russia detains U.S citizen on suspicion of treason
2024-02-14,'We can be killed in the UK at any time': Sikh activist fears for life after being named on Indian 'hit list'
2024-02-12,Armenia's PM: 'We are not Russia's ally' in war against Ukraine
2024-02-05,"Houthis may sabotage western internet cables in Red Sea, Yemen telecoms firms warn"
2024-02-23,Over 70% of Trainee Doctors Submit Resignations in South Korea Amid Protests
2024-02-14,"‘All for one’: France, Germany, Poland to tighten defence ties"
2024-02-14,"Iran's main gas pipeline hit by sabotage, oil minister says"
2024-02-08,Milei’s party presents draft bill to repeal Argentina abortion law
2024-02-19,Germany to propose new sanctions against Russia after death of Alexei Navalny
2024-02-19,Houthis claim ‘catastrophic’ attack in Red Sea that prompted crew to abandon ship
2024-02-05,Netherlands to send 6 more F-16 jets to Ukraine
2024-02-03,"US Strikes Kill at least 18 Pro-Iran militants In Syria, the Syrian Observatory for Human rights says"
2024-02-03,UK lawmakers annoyed that the £2.5 billion from the sale of Chelsea FC has still not yet gone to support Ukraine as had been promised nearly two years ago by former owner Roman Abramovich
2024-02-03,Putin casts the Ukraine conflict as a fight for Russia's survival as he seeks reelection
2024-01-31,Ukrainian Drones 'Destroy Russian Mercenaries’ in Sudan
2024-02-22,"Latvia to become first EU country to ban imports of grain from Russia, Belarus"
2024-02-10,Ireland and Nato enter new agreement to counter Russia threat
2024-01-30,Former Pakistan PM Imran Khan sentenced to 10 years’ jail for revealing state secrets
2024-02-13,France to impose travel bans on violent Israeli settlers
2024-02-19,Gantz: Israel will launch Rafah offensive if hostages not returned by Ramadan
2024-02-06,Iran goes public with stark warning over suspected spy ship as U.S. refuses to rule out more strikes
2024-02-15,Japan unexpectedly slips into a recession
2024-02-03,‘Incredibly rare’ discovery reveals bedbugs came to Britain with the Romans
2024-02-13,"Putin to Skip Presidential Debates, Kremlin Says"
2024-01-30,"‘Smoking gun proof’: fossil fuel industry knew of climate danger as early as 1954, documents show"
2024-02-04,Iran Warns U.S. of Threat of Escalation After Strikes on Iran-Backed Targets
2024-02-04,Ukraine's latest defense corruption case goes after officials allegedly tied to deadly ammunition shortage
2024-02-16,Chun Ki-won: Hero pastor jailed for sexually abusing North Korea teenage escapees
2024-02-08,"Bolsonaro named target in Brazil coup probe, ordered to surrender passport"
2024-02-15,"Egypt clearing land, building wall near Gaza border, satellite imagery shows"
2024-02-07,"Doctors Without Borders: Darfur displaced in 'catastrophic' humanitarian conditions, one child is dying every two hours"
2024-02-17,"Ukraine war: 'Artificial shortage' of weapons helps Putin, says Zelensky"
2024-02-09,Kim Jong Un Says He Has Lawful Right to Destroy South Korea
2024-02-15,‘Dead’ Black Sea Fleet Commander Reportedly Sacked After Latest Naval Loss
2024-02-07,"Some Russian Banks May Have Swapped Gold for Dollars, Report Says"
2024-01-28,"Guterres reveals new details of UNRWA probe: of 12 suspects 9 terminated, one dead"
2024-01-29,Preliminary report suggests enemy drone that killed US troops in Jordan was mistaken for a US drone
2024-02-15,"Hamas rejects Israeli proposal to release 1,500 inmates for hostages"
2024-02-18,"Czech President says Czechia found way to get 800,000 shells for Ukraine"
2024-02-23,ISS: Russian special services behind attack on Estonian minister's car
2024-01-30,Spain continues Palestinian funding amid controversy
2024-02-05,Medvedev doesn't hide Russia's plans to interfere in elections in the West
2024-02-18,"Iran, wary of wider war, urges its proxies to avoid provoking U.S."
2024-02-25,Zelensky: Russia preparing offensive for early summer
2024-02-02,Iran Executes At Least 28 People In Ten Days As Executions Continue
2024-02-22,Russia pulls out of fishing deal and tells Britons to 'lose weight'
2024-02-26,Ukrainian troops pull back again as Russia's onslaught pushes ahead in eastern Ukraine
2024-02-19,Yemen's Houthis say they attacked two US ships in Gulf of Aden
2024-01-29,Those dying of hunger are idiots - Uganda minister - BBC News
2024-02-09,European officials say Ukraine needs more aid to regain advantage over Russia
2024-02-03,"‘Guns now, pay later’ plan for cash-strapped Swiss army"
2024-02-19,North Korea's Kim Jong Un receives car as gift from Putin - KCNA
2024-02-25,"Britons should prepare for conscription if Russia hits Nato, warns ex-Army chief"
2024-02-10,Report: Egypt warns Israel Rafah offensive may lead to suspension of peace treaty
2024-02-11,Ukraine's missing children tracked down in Russia by digital sleuths
2024-02-20,Kremlin rejects call for international investigation into Alexei Navalny's death
2024-02-08,Hezbollah military commander killed in Israeli drone strike in Lebanon
2024-02-04,"Hamas set to reject Gaza hostage, ceasefire deal, demand more prisoners - report"
2024-02-07,NATO allies warn Hungary not to hold up Sweden’s membership as US patience wears thin
2024-02-08,"WSJ Exclusive | Russian Intelligence Is Pushing False Claims of U.S. Biological Testing in Africa, U.S. Says"
2024-02-13,"Russia preparing for military confrontation with West, says Estonia"
2024-02-15,"‘Hamas is not a terrorist group,’ says UN Relief Chief Martin Griffiths"
2024-02-02,China tells Ukraine to remove its firms from 'sponsors of war' list
2024-02-05,Ukraine-born Miss Japan relinquishes crown following affair
2024-02-15,IDF kills Hamas commander who held murdered hostage in Gaza hospital
2024-02-18,Russia takes control of the city of Avdiivka in eastern Ukraine after Ukrainian troops withdraw
2024-02-09,"In shock result, allies of jailed ex-leader Imran Khan win most seats in Pakistan election"
2024-02-15,Ukraine Sends More Troops to 'Extremely Critical' Avdiivka
2024-02-14,Putin Signs Law on Seizing Property of Ukraine War Critics
2024-02-21,"Hamas chief Sinwar's health deteriorates, suffering from severe pneumonia - report"
2024-01-30,Military intelligence: Russia shows no intent to return bodies of POWs allegedly on crashed Il-76
2024-02-12,UNRWA chief rebuffs calls to resign over alleged Hamas links
2024-02-12,Israel bars entry to Italian UN official
2024-02-15,Helmets and Vests found in aid trucks to Gaza.
2024-02-14,"People around the world have high levels of trust in scientists, and most want researchers to get more involved in policymaking, a global survey with more than 70,000 participants finds"
2024-02-03,"China Introduces Strict Rules In Xinjiang On Islam, Other Religions"
2024-02-13,Ukraine says Russia buying Starlink terminals in 'Arab countries'
2024-02-19,Israel’s economy slumps 19.4% in the fourth quarter 2023 as war takes a toll
2024-02-03,"Dozens detained in Moscow at rally of Russian soldiers' wives, rights group says"
2024-02-10,Hungary president resigns amid uproar over her pardon of man convicted in child sex abuse case
2024-02-10,Italy takes aim at tourists with Airbnb crackdown and loudspeaker bans
2024-01-29,Details Emerge on U.N. Workers Accused of Aiding Hamas Raid
2024-02-25,Ukraine-NATO Council: Russia must immediately stop war
2024-02-14,First Lesbian Couple Registers Their Marriage In Nepal
2024-02-13,European leaders call for stronger defence ties after Trump’s Nato remarks
2024-02-25,Moldovan separatists ask Putin to annexe their region
2024-02-18,'It is urgent': European leaders appeal for greater support for Ukraine as Russia makes major gain
2024-02-13,Zelenskyy calls for House vote on Ukraine aid
2024-02-17,"Kremlin runs disinformation campaign to undermine Zelensky, documents show"
2024-02-16,U.S. Official Says Iran's Revolutionary Guard Is 'Serving Side-By-Side' With Houthi Rebels In Yemen
2024-02-20,Germany faces a political crisis over sending Taurus cruise missiles to Ukraine
2024-02-05,Search engine Yandex owner to exit Russia in $5.2 bln deal
2024-02-04,"US declines to rule out hitting targets in Iran, Jake Sullivan says"
2024-02-08,"‘World is grateful': India keeps oil prices cheaper by buying from Russia, Indian oil minister says"
2024-02-18,Deputy Prime Minister sends warning to Oslo: Russian rights at Svalbard must not be challenged
2024-02-23,Putin says nearly all of Russia's nuclear forces have been modernised
2024-02-08,"Bolsonaro and Allies Planned a Coup, Brazil Police Say"
2024-02-20,Ukraine military says it repelled Russian offensive on southern front
2024-02-07,Pod of at least 10 killer whales appears trapped by sea ice in Japan
2024-02-07,Estonia Delivers $88 Million in ‘Long-Term’ Military Aid to Ukraine
2024-02-10,Sweden sends troops to NATO frontline as military gears up for membership
2024-02-14,Israel Says Wounded Al Jazeera Journalist A Hamas Militant
2024-02-12,Canadian Russian pleads guilty to exporting technology to Russia
2024-02-24,Thousands protest as hunger grows amid Argentine austerity
2024-02-16,"Iran declares Antarctica its property in direct challenge to Biden, global treaty"
2024-02-09,Danish defence minister warns Russia could attack NATO in 3-5 years
2024-02-26,"Polish Foreign Minister warns US of ''profound consequences'' if aid to Ukraine is not approved. ""Some countries will start hedging their bets, and others will consider developing their own nuclear weapons programs,"""
2024-02-06,Zelenskyy instructs Ukrainian Armed Forces to set up separate service branch of drone forces
2024-02-20,"Putin says Russia has no intention of putting nuclear weapons in space, denying US claims"
2024-02-17,"Hamas suspends Gaza ceasefire, hostage deal negotiations with Israel"
2024-02-23,Philippines arming up for D-Day with China
2024-01-30,Iraqi Hezbollah decides to suspend attacks on US troops
2024-02-05,Georgia says it seized Russia-bound cargo of explosives sent from Ukraine
2024-02-04,US warns of further retaliation if Iran-backed militias continue their attacks
2024-02-14,"Russia can sustain war effort for ‘two or three years,’ finds defense study"
2024-02-15,Spanish citizens feel ‘abandoned’ after 10 months without clean water
